screen,section,key,text,severity,anim_hint
BOOT / WAKE,Identity,PRISONER_ID,PRISONER ID 76561198380490588,info,steady
BOOT / WAKE,Identity,SECTION,SECTION 6, ENTRYPOINT dx,info,steady
BOOT / WAKE,Identity,ALIAS,ALIAS "WTH",info,flicker_minor
BOOT / WAKE,System,LINE_01,WAKE SEQUENCE ACCEPTED,info,type_on
BOOT / WAKE,System,LINE_02,LANGUAGE PACK :: RU-EN MIXED,info,steady
BOOT / WAKE,System,LINE_03,SUBJECT AUTH CLASS :: RESTRICTED,warning,type_on
BOOT / WAKE,System,LINE_04,MEMORY ACCESS :: PARTIAL LOCK,warning,steady
BOOT / WAKE,System,LINE_05,MISSION BRIEF :: REDACTED,warning,type_on
BOOT / WAKE,System,LINE_06,MENTAL EVAL   UNSTABLE,critical,pulse_hard
BOOT / WAKE,System,LINE_07,SUGGESTED ACTION : RETIRE,warning,type_on
BOOT / WAKE,System,LINE_08,OVERRIDE : REDEPLOY,critical,flash_once
BOOT / WAKE,System,LINE_09,SUBJECT READY FOR CORTEX INTERFACE INJECTION,info,steady
BOOT / WAKE,System,LINE_10,INPUT CHANNEL OPEN,info,blink_slow
METRICS OVERLOAD,Header,TITLE,CONTROL CHANNEL // SYSTEM TELEMETRY,info,steady
METRICS OVERLOAD,Header,NODE,NODE ID :: C6-SHAFT-03,info,steady
METRICS OVERLOAD,Status,COMPLIANCE,COMPLIANCE SCORE :: 27%,critical,pulse_hard
METRICS OVERLOAD,Status,COGNITIVE_LOAD,COGNITIVE LOAD :: HIGH,warning,jitter_subtle
METRICS OVERLOAD,Status,SIGNAL_INTEGRITY,SIGNAL INTEGRITY :: DEGRADED,warning,steady
METRICS OVERLOAD,Status,INSTRUCTION_PARSE,INSTRUCTION PARSE :: 61%,warning,type_on
METRICS OVERLOAD,Status,MISSION_CLARITY,MISSION CLARITY :: REDACTED,warning,steady
METRICS OVERLOAD,Status,AUTH_STATE,AUTH STATE :: LIMITED,warning,steady
METRICS OVERLOAD,Status,RISK_FORECAST,RISK FORECAST :: TERMINAL,critical,flash_once
METRICS OVERLOAD,Status,RESPONSE_LATENCY,RESPONSE LATENCY :: 412 MS,warning,steady
METRICS OVERLOAD,Status,LINK_STABILITY,LINK STABILITY :: FLUCTUATING,warning,jitter_subtle
METRICS OVERLOAD,Flags,FLAG_A1,FLAG A1 :: BRIEFING DESYNC,warning,type_on
METRICS OVERLOAD,Flags,FLAG_C3,FLAG C3 :: COMMAND CONFLICT,warning,type_on
